№,Погрешность угла наклона,Погрешность угла поворота,Погрешность скорости,Угол наклона,Угол поворота,Скорость,Дальность полета,x,y,Результат попадания
34,-0.5561863750619036,-4.88177892330163,-4.853316221850264,29.443813624938095,40.11822107669837,25.146683778149736,11.178956971375753,9.54873306649741,7.203349354685243,False
35,1.1777615636132657,3.2819460298882657,-4.493695154273204,31.177761563613267,48.28194602988827,25.506304845726795,11.356764458379722,8.557535940671297,8.477013003917031,True
36,4.442702006985833,-0.6866124369693853,4.334203168680201,34.44270200698583,44.313387563030616,34.334203168680204,12.556813487897582,9.984770784362672,8.771970070760025,True
37,4.658977761177287,-2.640159313045991,2.414895733403146,34.65897776117728,42.35984068695401,32.41489573340314,12.391361973821926,10.156321668708715,8.349109237841798,False
38,1.0925045654846732,-3.0351624049265515,3.1614863723641093,31.092504565484674,41.96483759507345,33.16148637236411,12.350251107875074,10.183095047802334,8.258296904967619,False
39,-3.3239883194672695,-2.5817743422880413,-2.8453935519993068,26.67601168053273,42.41822565771196,27.154606448000692,11.32829688831081,9.363011061755696,7.641358280480259,False
40,-3.9896126877476057,-3.7178422129474553,3.4098825261102554,26.010387312252394,41.28215778705255,33.40988252611025,12.11126340026486,10.101246567273064,7.990620255793377,False
41,1.7929997298899867,2.239687639635286,-3.9208599111774256,31.792999729889985,47.239687639635285,26.079140088822573,11.45949832711301,8.780230446801323,8.413567382731987,True
42,-3.889347364035567,1.999680335861095,-1.5701287860223836,26.110652635964435,46.99968033586109,28.429871213977616,11.489592587519715,8.835930184055691,8.40291235095267,True
43,2.1228947309514066,1.4827649276176347,-4.3692353805080755,32.12289473095141,46.48276492761764,25.630764619491924,11.419708037319127,8.863299693365951,8.281198559986471,True
44,-2.175161012951393,2.981145841055559,-1.602180796410936,27.824838987048608,47.98114584105556,28.397819203589066,11.60991113855661,8.771385599757421,8.625288546191591,True
45,3.7634280699453946,3.609992871626801,-3.948848044027451,33.76342806994539,48.6099928716268,26.05115195597255,11.56029892219019,8.643450342829915,8.672841404469755,True
46,-1.2887252948847374,-0.18422581735139332,-0.09501313518998344,28.71127470511526,44.81577418264861,29.904986864810017,11.865102729357263,9.416827606778227,8.362874853540323,True
47,-0.8096229749394794,-2.6892551645333063,1.328377933835342,29.19037702506052,42.31074483546669,31.32837793383534,12.077270309697878,9.931200211314405,8.12982908300829,True
48,4.523016056189489,2.4872824198001853,-0.779691132446219,34.52301605618949,47.48728241980019,29.220308867553783,12.041651026014074,9.137191917622205,8.876230457130417,True
49,2.749742411198312,-4.479982672699067,2.986065269734959,32.74974241119831,40.520017327300934,32.98606526973496,12.384616131771383,10.414525387037123,8.046454403534856,False
50,3.019916650574279,1.6754020753900045,-3.068205224471482,33.01991665057428,46.675402075390004,26.931794775528516,11.675440922741403,9.010878842067019,8.493629431411968,True
51,3.351354521952322,0.8502006724257889,-0.14439981597487161,33.351354521952324,45.850200672425785,29.85560018402513,12.06772868390791,9.40561593700918,8.65885074983459,True
52,4.877016126855601,-3.913776396440656,-2.251051107337436,34.8770161268556,41.08622360355935,27.748948892662565,11.833703782159152,9.919316161818655,7.777039565889347,False
53,3.3253309580288963,0.26802421623883355,2.021768180532586,33.3253309580289,45.268024216238835,32.02176818053259,12.32676722525393,9.675471260875257,8.75701939174066,True
54,3.4877751417766873,0.4210151672830911,-4.901829389680724,33.48777514177669,45.42101516728309,25.098170610319276,11.385350927641904,8.991284981185416,8.109598023024121,True
55,-1.88822454029006,-1.8690940733558614,4.808392266156819,28.11177545970994,43.13090592664414,34.808392266156815,12.395408808164767,10.046090086814326,8.474338538362051,True
56,4.897954161328251,-0.3232826051013813,2.5731146141989845,34.89795416132825,44.67671739489862,32.573114614198985,12.39457224110657,9.813597442782173,8.714695700745555,True
57,0.7533709009606326,4.881348646775553,3.7794735957997627,30.753370900960633,49.88134864677555,33.779473595799764,12.419254078274985,9.002627023068962,9.497148655801713,True
58,4.5076685993735275,0.12740045446911097,0.8873195838441674,34.50766859937353,45.12740045446911,30.887319583844167,12.208739579379863,9.613665510904704,8.65205689899039,True
59,4.673155957355743,2.758068108118744,-2.0956628518595286,34.673155957355746,47.75806810811874,27.90433714814047,11.848576451733582,8.965354419736265,8.771652803238593,True
60,0.22172753399141065,-1.808381520002408,-0.8641568450666073,30.221727533991412,43.191618479997594,29.135843154933394,11.869042588991391,9.653348147041793,8.123652985288073,True
61,1.5747840652775977,0.40673061153661205,-4.340187488126446,31.574784065277598,45.40673061153661,25.659812511873554,11.396737313917514,9.001300590651798,8.115713786259036,True
62,1.5399836481945854,-3.0093706911565423,-2.3759091561058208,31.539983648194585,41.99062930884346,27.62409084389418,11.715655898417252,9.707711055098951,7.837879898992229,False
63,-0.33337656247257996,-3.6322105534363036,-3.988728838944108,29.66662343752742,41.3677894465637,26.01127116105589,11.349187477380543,9.517369173161224,7.50056522968864,False
64,2.1770778340200927,1.7162097583861122,-2.9775054687672773,32.177077834020096,46.716209758386114,27.022494531232724,11.626869759341867,8.971526413100802,8.463974660048,True
65,3.1497679769161167,2.632570353641399,-4.791253120482489,33.14976797691612,47.6325703536414,25.208746879517513,11.40163372376708,8.683361396820708,8.423966358953964,True
66,-0.5526611512158484,-2.6306133555821507,-3.7758363349017845,29.447338848784153,42.36938664441785,26.224163665098217,11.36821678441502,9.39901496734768,7.6611291880326,False
67,4.646081067573153,2.199793783943555,4.298143126422355,34.64608106757315,47.199793783943555,34.29814312642235,12.5862643699338,9.551661117080192,9.234887272104833,True
68,3.3669773667880563,4.583294769859558,-3.6259120578303436,33.366977366788056,49.583294769859556,26.374087942169655,11.592621321214189,8.515982232923228,8.82603422673242,True
69,-2.873407707573774,-2.1166860284107836,3.1975204012880205,27.126592292426224,42.88331397158922,33.19752040128802,12.159888076265835,9.910049903839447,8.274895089268666,True
70,-2.369465325196037,-0.7010634108848643,1.653575371240029,27.63053467480396,44.29893658911514,31.65357537124003,12.0444913044768,9.620311034240656,8.411896840580372,True
71,0.9263751692664925,1.0927074997514392,0.3614260431718339,30.926375169266493,46.09270749975144,30.361426043171832,12.033896154919928,9.34542916100557,8.669975131800234,True
72,2.352394452555443,0.024421310110470884,2.8290979639544798,32.352394452555444,45.02442131011047,32.82909796395448,12.384076197041045,9.753131004202062,8.760595920221135,True
73,-0.7708159522141278,2.6250688285162216,4.189794965490828,29.22918404778587,47.62506882851622,34.189794965490826,12.389328501437632,9.350150009647994,9.1526201457785,True
74,-1.5416953493458796,-2.029099802118183,-0.9926697422187436,28.45830465065412,42.97090019788182,29.007330257781256,11.745675774035748,9.594310795003594,8.00616770669057,True
75,-0.5498298351456175,3.434030473570944,-1.628614851537237,29.450170164854384,48.43403047357094,28.371385148462764,11.691625358737422,8.757182339366071,8.7475839911886,True
76,3.5595442691094377,-4.2366032263632425,0.669313977016408,33.55954426910944,40.76339677363676,30.669313977016408,12.180325509013981,10.225528807033891,7.952983574491056,False
77,2.4065630020166404,1.865681741630814,-0.6012514942779834,32.40656300201664,46.865681741630816,29.39874850572202,11.988286687991108,9.196523406682083,8.74848682671338,True
78,0.6100006173137151,-1.5692006785447088,1.1689473021840477,30.610000617313716,43.43079932145529,31.168947302184048,12.118003210779692,9.800157216966378,8.330860386127084,True
79,-0.9684466134717784,-0.656803646669939,3.134304570046911,29.031553386528223,44.34319635333006,33.13430457004691,12.274064486757656,9.777993382891086,8.579014581815663,True
80,2.0517861955569057,-2.8602052605326844,1.2654158179807045,32.05178619555691,42.13979473946731,31.265415817980703,12.20500536506691,10.05013374498619,8.188848219326957,False
81,-2.89193348867411,4.828085194346967,-1.8277329201991046,27.10806651132589,49.82808519434697,28.172267079800896,11.533679433706919,8.440182990679617,8.813026627936381,True
82,3.3013532957427145,-2.2745826343281363,-1.2105282578034418,33.301353295742715,42.725417365671866,28.789471742196557,11.934075807497686,9.766935344896584,8.09709886548908,True
83,4.620376348823296,-1.7164627922410869,-0.3982361142799329,34.6203763488233,43.28353720775891,29.601763885720068,12.062449055439586,9.78109843039609,8.270126212505506,True
84,-1.9257407184818023,-2.460026675466959,-1.8056246880330962,28.0742592815182,42.539973324533044,28.194375311966905,11.593703032320843,9.542307881332706,7.838553824664766,False
85,-3.8205110906758764,3.079517606430352,1.4557751451108194,26.179488909324125,48.07951760643035,31.45577514511082,11.909251814596264,8.956554382909388,8.861349848373541,True
86,-1.9863238516240331,-0.45353131111503053,-2.123011166191333,28.013676148375968,44.54646868888497,27.876988833808667,11.538393652993118,9.223202639212948,8.094038945166565,True
87,0.09018116922556363,4.7178681318447,-2.429664558829945,30.090181169225563,49.717868131844696,27.570335441170055,11.630305026854458,8.519595859760116,8.87241078419809,True
88,0.27959098991880893,3.249296030904935,2.3878825728292696,30.27959098991881,48.24929603090494,32.38788257282927,12.255661602964723,9.160932706939217,9.143326455901791,True
89,1.0464349147862775,2.0034874440504877,-2.5885075753083453,31.04643491478628,47.003487444050485,27.411492424691655,11.638724932544948,8.93707319786731,8.512507686172142,True
90,-4.088566432239787,0.5732792984206618,-2.9536064390990346,25.911433567760213,45.57327929842066,27.046393560900967,11.257915863462436,8.880501351699541,8.039799004618267,True
91,3.8107339644562543,-0.7610254470214812,2.1914016983472813,33.810733964456254,44.23897455297852,32.19140169834728,12.36140006051385,9.856154562990522,8.62396299925353,True
92,2.2478509072229773,0.15282102455859636,2.394737924102591,32.247850907222976,45.1528210245586,32.39473792410259,12.329545882288494,9.695020792012354,8.74152818962051,True
93,-1.1566456419618234,3.187408213048057,2.789304307474075,28.843354358038177,48.18740821304806,32.789304307474076,12.225167230332504,9.150473588517453,9.111777767948203,True
94,-3.3304658910605864,4.586106871028793,-2.8700640252296292,26.669534108939413,49.58610687102879,27.12993597477037,11.326810666125462,8.34322278376964,8.62401988716283,True
95,0.7503891423654867,4.1627990697838,-2.028895256705452,30.750389142365485,49.1627990697838,27.971104743294546,11.716556395176903,8.661596438897693,8.864402617708144,True
96,-0.10521239600571519,4.516373994470653,-2.5987571666047007,29.894787603994285,49.516373994470655,27.4012428333953,11.586387262069882,8.52223846218622,8.812508059835267,True
97,3.6874766993269485,-0.3116739092990599,-4.944089900739291,33.68747669932695,44.68832609070094,25.055910099260707,11.377440809173187,9.08870933547281,8.001183703207571,True
98,-0.6331539119443663,-3.1490340457596186,2.389360411166539,29.366846088055635,41.85096595424038,32.389360411166535,12.198516549774105,10.086465265871077,8.138793214428734,False
99,-0.08546731297570975,-2.6857334657170453,2.578849312657953,29.91453268702429,42.31426653428296,32.57884931265795,12.23487532150718,10.047243645142899,8.23647719345151,True
100,-0.6058337124271072,4.431793520942925,4.642038936000647,29.394166287572894,49.431793520942925,34.642038936000645,12.44176823429951,9.09153876105092,9.45116909564287,True
